Ticker,Volume,Market Capitalization,Sector,Country,Number of Employees,Industry,Exchange
ECPG,133518,1087581808,Finance,United States,7300,Finance/Rental/Leasing,NASDAQ
SBCF,296874,1087375320,Finance,United States,867,Regional Banks,NASDAQ
MMI,108995,1083959640,Finance,United States,877,Real Estate Development,NYSE
KEN,4018,1081733696,Utilities,Singapore,96,Electric Utilities,NYSE
NGD,6818737,1081600000,Non-Energy Minerals,Canada,,Precious Metals,NYSE ARCA
BROG,13566,1080537680,Finance,United Arab Emirates,,Financial Conglomerates,NASDAQ
LNN,38982,1076023850,Producer Manufacturing,United States,1069,Trucks/Construction/Farm Machinery,NYSE
AROC,1313603,1075069780,Industrial Services,United States,1700,Oilfield Services/Equipment,NYSE
MEI,196187,1074791556,Electronic Technology,United States,6044,Electronic Components,NYSE
CERS,1484734,1072481520,Health Technology,United States,254,Medical Specialties,NASDAQ
CNXN,48067,1069881252,Technology Services,United States,2609,Information Technology Services,NASDAQ
CVGW,68778,1069598640,Consumer Non-Durables,United States,3657,Food: Specialty/Candy,NASDAQ
CRS,273531,1069400087,Non-Energy Minerals,United States,5100,Steel,NYSE
HOPE,750285,1064994840,Finance,United States,,Major Banks,NASDAQ
APPS,1196131,1064528320,Technology Services,United States,207,Internet Software/Services,NASDAQ
UNFI,552163,1064209020,Distribution Services,United States,19000,Food Distributors,NYSE
REGI,306457,1062515127,Process Industries,United States,829,Chemicals: Specialty,NASDAQ
SNEX,41495,1061777925,Finance,United States,2012,Investment Banks/Brokers,NASDAQ
TRS,130269,1061364720,Producer Manufacturing,United States,3500,Miscellaneous Manufacturing,NASDAQ
CLB,851980,1055402058,Industrial Services,Netherlands,4300,Oilfield Services/Equipment,NYSE
LNTH,453817,1054549361,Health Technology,United States,508,Medical Specialties,NASDAQ
HRI,276191,1054514648,Finance,United States,5100,Finance/Rental/Leasing,NYSE
USPH,49873,1053199800,Health Services,United States,5400,Medical/Nursing Services,NYSE
CODI,200736,1052678000,Finance,United States,4890,Investment Managers,NYSE
MTDR,2617671,1052572920,Energy Minerals,United States,304,Oil & Gas Production,NYSE
CADE,1391236,1050264540,Finance,United States,1849,Major Banks,NYSE
INSG,2485078,1048768904,Electronic Technology,United States,,Telecommunications Equipment,NASDAQ
KALU,126300,1047083884,Non-Energy Minerals,United States,2820,Aluminum,NASDAQ
MIK,6124734,1046114000,Retail Trade,United States,44000,Specialty Stores,NASDAQ
PBF,2836619,1041487160,Energy Minerals,United States,3442,Oil Refining/Marketing,NYSE
ARQT,39946,1040857488,Health Technology,United States,29,Pharmaceuticals: Major,NASDAQ
WHD,241660,1038547146,Industrial Services,United States,1100,Oilfield Services/Equipment,NYSE
VAPO,283671,1038294552,Health Technology,United States,284,Medical Specialties,NYSE
EIG,468741,1037562176,Finance,United States,704,Life/Health Insurance,NYSE
CATM,440434,1035987900,Commercial Services,United States,1987,Miscellaneous Commercial Services,NASDAQ
CEQP,534770,1032011943,Industrial Services,United States,894,Oil & Gas Pipelines,NYSE
AHCO,70418,1029783906,Finance,United States,2590,Finance/Rental/Leasing,NASDAQ
VRTS,124695,1029420347,Finance,United States,578,Investment Managers,NASDAQ
CHCO,80600,1028840048,Finance,United States,918,Major Banks,NASDAQ
SWM,149869,1027583064,Process Industries,United States,3400,Pulp & Paper,NYSE
UVV,151517,1027446585,Consumer Non-Durables,United States,24000,Tobacco,NYSE
AKRO,177114,1026876460,Health Technology,United States,13,Pharmaceuticals: Major,NASDAQ
WIRE,73317,1026626568,Producer Manufacturing,United States,1380,Metal Fabrication,NASDAQ
GMS,214336,1021721540,Distribution Services,United States,5913,Wholesale Distributors,NYSE
ULNV,100,1021301100,Retail Trade,China,49,Internet Retail,OTC
PHR,275678,1017284400,Technology Services,United States,532,Packaged Software,NYSE
EGBN,89726,1012825464,Finance,United States,492,Regional Banks,NASDAQ
ASTE,181101,1012747272,Producer Manufacturing,United States,3866,Trucks/Construction/Farm Machinery,NASDAQ
ARCO,598504,1012187200,Consumer Services,Uruguay,80855,Restaurants,NYSE
BLMN,8298810,1011338160,Consumer Services,United States,94000,Restaurants,NASDAQ
KTB,428685,1008472534,Consumer Non-Durables,United States,15100,Apparel/Footwear,NYSE
SFL,720322,1006516710,Transportation,Bermuda,11,Marine Shipping,NYSE
AVYA,1171474,1005871770,Electronic Technology,United States,7900,Telecommunications Equipment,NYSE
CRLBF,298770,998387187,Process Industries,United States,1400,Agricultural Commodities/Milling,OTC
CSWI,27915,995237922,Process Industries,United States,730,Industrial Specialties,NASDAQ
LTHM,1309612,992630100,Process Industries,United States,800,Chemicals: Specialty,NYSE
JBSS,54987,992627649,Consumer Non-Durables,United States,1470,Food: Specialty/Candy,NASDAQ
VIVO,347447,991581635,Health Technology,United States,660,Biotechnology,NASDAQ
PGTI,308899,991131956,Producer Manufacturing,United States,3000,Building Products,NYSE
VRTU,211468,991067792,Technology Services,United States,22830,Information Technology Services,NASDAQ
NPO,63492,989872875,Producer Manufacturing,United States,5300,Industrial Machinery,NYSE
HURN,118370,989818680,Commercial Services,United States,3750,Miscellaneous Commercial Services,NASDAQ
ATRA,585977,988590231,Health Technology,United States,393,Biotechnology,NASDAQ
NMIH,1112365,987660330,Finance,United States,321,Property/Casualty Insurance,NASDAQ
FARO,49726,987496589,Electronic Technology,United States,1818,Electronic Equipment/Instruments,NASDAQ
BGCP,3121482,986794889,Finance,United States,5200,Investment Banks/Brokers,NASDAQ
PLUS,37794,984930816,Distribution Services,United States,1579,Electronics Distributors,NASDAQ
NTLA,572359,983936575,Health Technology,United States,270,Biotechnology,NASDAQ
CETV,189490,982752140,Consumer Services,Bermuda,2550,Broadcasting,NASDAQ
SII,64868,982533375,Finance,Canada,126,Investment Banks/Brokers,NYSE
CCF,9935,980620241,Process Industries,United States,726,Industrial Specialties,NYSE ARCA
BDTX,188795,979643896,Health Technology,United States,32,Biotechnology,NASDAQ
BATRA,50107,977881432,Consumer Services,United States,,Movies/Entertainment,NASDAQ
BH.A,190,977545800,Consumer Services,United States,10906,Restaurants,NYSE
WDR,635961,977122003,Finance,United States,1162,Investment Managers,NYSE
EAT,1783309,975805216,Consumer Services,United States,56147,Restaurants,NYSE
TPIC,318496,975024715,Producer Manufacturing,United States,13300,Electrical Products,NASDAQ
FOE,200344,973754752,Process Industries,United States,5922,Industrial Specialties,NYSE
